slug,type,status,publishedAt,internalEditorialMetadata,coverImage,coverImageOrigin
"webhook-blog-publishing-verification-2026-08-06-1126","","published","2026-08-06T11:19:10.730Z","clear","/assets/images/hero-mining-conveyor-magnet.webp","local or empty"
"metso-passes-200th-unit-milestone-for-its-hrc-8-high-pressure-roll-crusher-at-alwar-fact","","published","2026-08-06T11:13:06.840Z","clear","/assets/images/source-products/ctb-type-semi-countercurrent-wet-selection-machine.jpg","local or empty"
"suspension-height-magnetic-separator-performance-africa","","published","2026-08-06T01:07:01.3494206Z","clear","/assets/images/source-products/suspended-permanent-magnetic-separator.webp","local or empty"
"steinert-expands-into-mexico-with-new-metals-deal-2026-08-05","","published","2026-08-05T16:26:39.434Z","clear","/assets/images/source-products/dhj-type-strong-roller-automatic-magnetic-separator.jpg","local or empty"
"steinert-to-expand-mexico-presence-2026-08-05","","published","2026-08-05T13:45:01.160Z","clear","/assets/images/source-products/clt-type-magnetic-desliming-tank.jpg","local or empty"
"magnetic-separator-selection-coal-conveyor-systems-africa","","published","2026-08-03T04:03:53.691Z","clear","/assets/images/source-products/permanent-overband-magnetic-separator.jpg","local or empty"
"sk-godelius-partners-with-a-i-lamb-to-launch-advanced-conveyor-intelligence-solution-in-","","published","2026-07-30T10:59:33.625Z","clear","/assets/images/source-products/rcye-type-permanent-magnet-self-dumping-iron-remover.jpg","local or empty"
"multotec-to-demonstrate-the-importance-of-cyclone-efficiency-at-electra-mining-africa-20","","published","2026-07-30T10:59:33.626Z","clear","/assets/images/source-products/clt-type-magnetic-desliming-tank.jpg","local or empty"
"flexicon-debuts-low-profile-trough-hopper-conveyor-2026-07-28","","published","2026-07-28T13:41:40.562Z","clear","/assets/images/source-products/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator.jpg","local or empty"
"evaluating-passive-dust-control-at-conveyor-transfer-points-2026-07-24","","published","2026-07-24T19:13:40.099Z","clear","/assets/images/source-products/rcda-type-air-cooled-electromagnetic-iron-remover.jpg","local or empty"
"atlas-copco-e-air-v1100-compressors-underpinning-autl-n-manganese-ore-sorting-pursuit-20","","published","2026-07-24T06:30:14.110Z","clear","/assets/images/source-products/disc-magnetic-separator-for-tailing.jpg","local or empty"
"gladiator-s-cub-east-assays-highlight-historical-copper-belt-2026-07-22","","published","2026-07-24T06:30:14.111Z","clear","/assets/images/source-products/magnetic-head-pulley.jpg","local or empty"
"conveyor-belt-magnetic-separators-south-african-mines","","published","2026-07-06T04:49:48.587Z","clear","/assets/images/blog/conveyor-belt-magnetic-separators-south-african-mines-pexels-236705.jpg","local or empty"
"continental-sells-mining-conveyor-giant-contitech-to-lone-star-funds-2026-07-04","","published","2026-07-05T15:08:52.317Z","clear","/assets/images/source-products/dhj-type-strong-roller-automatic-magnetic-separator.jpg","local or empty"
"canada-commits-352m-to-red-chris-mine-expansion-in-british-columbia-2026-07-03","","published","2026-07-05T15:08:05.267Z","clear","/assets/images/source-products/disc-magnetic-separator-for-tailing.jpg","local or empty"
"bhp-seeks-to-restart-cerro-colorado-mine-with-1-5b-investment-2026-07-02","","published","2026-07-05T15:08:05.270Z","clear","/assets/images/source-products/dhd-type-roller-type-automatic-magnetic-separator.jpg","local or empty"
"almonty-kicks-off-processing-at-sangdong-tungsten-mine-2026-07-02","","published","2026-07-05T15:08:05.272Z","clear","/assets/images/source-products/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator.jpg","local or empty"
"how-to-select-an-overband-magnet","","","2026-06-09","clear","","local or empty"
"permanent-vs-electromagnetic-separator","","","2026-06-09","clear","","local or empty"
"magnetic-separator-for-coal-handling","","","2026-06-09","clear","","local or empty"
"crusher-protection-in-mining","","","2026-06-09","clear","","local or empty"
"magnetic-separator-maintenance","","","2026-06-09","clear","","local or empty"
"webhook-blog-publishing-verification-2026-08-06-1120","","published","2026-08-06T11:14:23.718Z","clear","/assets/images/hero-mining-conveyor-magnet.webp","local or empty"
