"slug","product","productType","missingField","publicTreatment","action"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Suitable belt width","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Recommended suspension height","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Material burden depth","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Magnetic circuit","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Cleaning arrangement","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Installation direction","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Overall dimensions","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Weight","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Permanent magnetic separator","Test method","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Model / series","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Input power","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Cooling configuration","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Duty cycle","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Electromagnetic suspended separator","Insulation and protection","Available on request / To be confirmed by COWIN engineering","Obtain supplier-approved model data before public numeric publication"
