"name","series","model","currentProductUrl","productCategory","productType","magnetType","cleaningMode","availability","verifiedSpecCount","pendingSpecCount","imageCount","imageRights","applications","selectionInputs","supplierConfirmed","sourceStatus","duplicateLegacyRoutes"
"Suspended Permanent Magnetic Separator","Suspended Permanent Magnetic Separator","To be confirmed","/en-za/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator/","Magnetic Separation Equipment","Permanent magnetic separator","permanent","manual","Available subject to project and supplier confirmation","0","10","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Quarry and cement raw-material conveyors | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height and available structural support | Expected size and frequency of ferromagnetic tramp material | Safe access and isolation procedure for manual cleaning | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/suspended-permanent-magnetic-separator/ | /en-za/products/suspended-permanent-magnetic-separator/"
"Suspended Electromagnetic Conveyor Belt Separator","Suspended Electromagnetic Conveyor Belt Separator","To be confirmed","/en-za/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator/","Magnetic Separation Equipment","Electromagnetic suspended separator","electromagnetic","manual","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Quarry and cement conveyor protection | Bulk-material transfer points","Conveyor belt width, speed, burden depth and suspension height | Expected tramp iron profile and process duty | Site voltage, frequency, phases and protection requirements | Cooling clearance, dust control and maintenance access | Installation structure and safe manual-cleaning arrangement","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/suspended-electromagnetic-conveyor-belt-separator/ | /en-za/products/suspended-electromagnetic-separator/"
"Round Electromagnetic Lifting Magnet","Round Electromagnetic Lifting Magnet","To be confirmed","/en-za/products/industry-application-equipment/round-electromagnetic-lifting-magnet/","Industry Application Equipment","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content","/en-za/products/magnetic-separation-equipment/round-electromagnetic-lifting-magnet/"
"Permanent Overband Magnetic Separator","Permanent Overband Magnetic Separator","To be confirmed","/en-za/products/metal-detection-and-recycling-sorting/permanent-overband-magnetic-separator/","Metal Detection & Recycling Sorting","Permanent self-cleaning iron remover","permanent","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Aggregate and cement conveyor protection | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height, installation direction and discharge side | Expected tramp iron size, frequency and duty cycle | Space for the discharge belt, guards and maintenance | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/permanent-overband-magnetic-separator/ | /en-za/products/permanent-overband-magnetic-separator/"
"RCYD Permanent Self-Cleaning Iron Remover","RCYD","RCYD","/en-za/products/suspended-and-self-unloading-iron-removers/rcyd-type-permanent-magnet-self-dumping-iron-remover/","Suspended & Self-Unloading Iron Removers","Permanent self-cleaning iron remover","permanent","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Aggregate and cement conveyor protection | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height, installation direction and discharge side | Expected tramp iron size, frequency and duty cycle | Space for the discharge belt, guards and maintenance | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content",""
"RCDD Self-Cooling Electromagnetic Iron Remover","RCDD","RCDD","/en-za/products/suspended-and-self-unloading-iron-removers/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/","Suspended & Self-Unloading Iron Removers","Self-cleaning electromagnetic iron remover","electromagnetic","self_cleaning","Available subject to project and supplier confirmation","0","11","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Heavy-duty aggregate and cement conveyors | Ports and bulk-material handling","Conveyor belt width, speed, burden depth and suspension height | Expected tramp iron profile, discharge direction and duty cycle | Site voltage, frequency, phases and control requirements | Cooling clearance, discharge-belt space and access | Dust, humidity, corrosion and outdoor exposure","project confirmation required","synced-main-site-public-content",""
"RCYB type permanent magnet manual iron remover","RCYB","RCYB","/en-za/products/suspended-and-self-unloading-iron-removers/rcyb-type-permanent-magnet-manual-iron-remover/","Suspended & Self-Unloading Iron Removers","Permanent magnetic separator","permanent","manual","Available subject to project and supplier confirmation","0","10","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing conveyor lines | Coal handling and washing plants | Quarry and cement raw-material conveyors | Ports and bulk-material handling","Conveyor belt width, speed and material burden depth | Suspension height and available structural support | Expected size and frequency of ferromagnetic tramp material | Safe access and isolation procedure for manual cleaning | Dust, corrosion, temperature and outdoor exposure","project confirmation required","synced-main-site-public-content",""
"RCDB type self cooling plate electromagnetic iron remover","RCDB","RCDB","/en-za/products/suspended-and-self-unloading-iron-removers/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/","Suspended & Self-Unloading Iron Removers","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content",""
"Belt High-Gradient Magnetic Separator","Belt High-Gradient Magnetic Separator","To be confirmed","/en-za/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"Disc Magnetic Separator for Tailing","Disc Magnetic Separator for Tailing","To be confirmed","/en-za/products/magnetic-separation-equipment/disc-magnetic-separator-for-tailing/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
