"url","slug","publicPageFound","pageLeakHits","productDataLeakHits","status"
"/en-za/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator/","suspended-permanent-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator/","suspended-electromagnetic-conveyor-belt-separator","yes","none","none","pass"
"/en-za/products/industry-application-equipment/round-electromagnetic-lifting-magnet/","round-electromagnetic-lifting-magnet","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/permanent-overband-magnetic-separator/","permanent-overband-magnetic-separator","yes","none","none","pass"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcyd-type-permanent-magnet-self-dumping-iron-remover/","rcyd-type-permanent-magnet-self-dumping-iron-remover","yes","none","none","pass"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover/","rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","yes","none","none","pass"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcyb-type-permanent-magnet-manual-iron-remover/","rcyb-type-permanent-magnet-manual-iron-remover","yes","none","none","pass"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcdb-type-self-cooling-plate-electromagnetic-iron-remover/","rcdb-type-self-cooling-plate-electromagnetic-iron-remover","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator/","belt-high-gradient-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/disc-magnetic-separator-for-tailing/","disc-magnetic-separator-for-tailing","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/dry-drum-magnetic-separator/","dry-drum-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/wet-drum-magnetic-separator/","wet-drum-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator/","cbz-type-rotary-automatic-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator/","cgb-type-rotary-semi-automatic-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separator/","cqz-type-fully-automatic-online-magnetic-separator","yes","none","none","pass"
